Employee ID,Status,Original Hire Date,Pay Group Description,Department,Facility Code,Closest Office,City
42320774,Pre-Start,3/24/2025,Australia Monthly,Implementation,,,Moreton Bay
81320795,Pre-Start,3/24/2025,IND Monthly (ConnectedPay Exc),Customer Support,,,Kumta
81320785,Pre-Start,3/24/2025,Australia Monthly,Implementation,,,Glengowrie
42320749,Pre-Start,3/18/2025,Partners/Contractors,Customer Support,,,
81320786,Pre-Start,3/17/2025,PHL Dayforce Bi-monthly,Global Business Operations,VIRTUL,PHL - Manila 2Asc,Malinao
98320788,Pre-Start,3/17/2025,Dayforce Canada,Sales,,,Stouffville
72320756,Pre-Start,3/17/2025,Mauritius Ltd Monthly,Product,,,"Port Louis, Mauritius"
72320767,Pre-Start,3/17/2025,Mauritius Ltd Monthly,Implementation,,,Petit Raffray
81320791,Pre-Start,3/17/2025,US BiWeekly,Product,,,Milford
81320789,Pre-Start,3/17/2025,Dayforce Canada,Implementation,,,Halifax
81320755,Pre-Start,3/17/2025,IND Monthly (ConnectedPay Exc),Finance,,,Gurgaon 
81320784,Pre-Start,3/17/2025,IND Monthly (ConnectedPay Exc),Development,,,Gurgaon
81320792,Pre-Start,3/17/2025,US BiWeekly,Development,,,Glendora
81320790,Pre-Start,3/17/2025,Dayforce Canada,Customer Support,,,Edmonton
98320775,Pre-Start,3/10/2025,Dayforce Canada,Development,,,Surrey
98320772,Pre-Start,3/10/2025,Dayforce Canada,Development,,,Scarborough
72320776,Pre-Start,3/10/2025,US BiWeekly,Sales,,,Needham 
81320700,Pre-Start,3/10/2025,UK Monthly (Native),Sales,,,London
81320771,Pre-Start,3/10/2025,UK Monthly (Native),Customer Support,,,Glasgow 
42320773,Pre-Start,3/10/2025,Partners/Contractors,Marketing,,,
42320783,Pre-Start,3/10/2025,Partners/Contractors,Development,,,
42320796,Pre-Start,3/6/2025,Partners/Contractors,Technology,,,
81320766,Pre-Start,3/5/2025,Australia Monthly,Implementation,VIRTUL,AUS - Sydney NSW,Epping
92320787,Active,3/4/2025,Partners/Contractors,Implementation,VIRTUL,,
12320745,Active,3/3/2025,Dayforce Canada,Sales,VIRTUL,CAN - Not within 50 miles of an office,Waterloo
12320736,Active,3/3/2025,Dayforce Canada,Sales,VIRTUL,CAN - Not within 50 miles of an office,Vancouver
98320735,Active,3/3/2025,Dayforce Canada,Development,VIRTUL,CAN - Not within 50 miles of an office,Sherwood Park
98320724,Active,3/3/2025,UK Monthly (Native),Implementation,VIRTUL,UK - Not within 50 miles of an office,Sandhurst
98320768,Active,3/3/2025,US BiWeekly,Sales,VIRTUL,US - Not within 50 miles of an office,San Diego
98320729,Active,3/3/2025,PHL Dayforce Bi-monthly,Customer Support,VIRTUL,PHL - Manila 2Asc,Rodriguez City
